Trial-ID,Status,Iteration,lr_scaler,max_depth,n_estimators,subsample,Objective,test_mse
17499,COMPLETED,1,0.9515671022978822,6,129,0.910440620595164,12.192173180911976,9.806699010666016
17498,COMPLETED,1,0.9515671022978822,6,129,0.910440620595164,10.57721461154707,9.427683321866557
17497,COMPLETED,1,0.9515671022978822,6,129,0.910440620595164,12.495966088037246,10.694047213473347
17496,COMPLETED,1,0.9515671022978822,6,129,0.910440620595164,12.545174147789387,9.479744320524157
17495,COMPLETED,1,0.9515671022978822,6,129,0.910440620595164,13.952136478985262,10.921882108893962
17494,COMPLETED,1,0.9515671022978822,6,129,0.910440620595164,13.192479286299305,10.297975334961938
17493,COMPLETED,1,0.9515671022978822,6,129,0.910440620595164,13.661091939859226,10.525921088742976
17492,COMPLETED,1,0.9515671022978822,6,129,0.910440620595164,13.842868085776413,10.622395022488082
17511,COMPLETED,1,0.9828478677711472,6,121,0.7452200723716598,12.428700194302285,10.183699032055591
17510,COMPLETED,1,0.9828478677711472,6,121,0.7452200723716598,11.531993305384445,9.734886784387882
17509,COMPLETED,1,0.9828478677711472,6,121,0.7452200723716598,11.334306352421596,9.23930685197033
17508,COMPLETED,1,0.9828478677711472,6,121,0.7452200723716598,12.577207323962536,9.464013459752849
17507,COMPLETED,1,0.9828478677711472,6,121,0.7452200723716598,11.567954241486351,8.795481334243638
17506,COMPLETED,1,0.9828478677711472,6,121,0.7452200723716598,12.419146382799461,10.750786749919202
17505,COMPLETED,1,0.9828478677711472,6,121,0.7452200723716598,13.116160360804644,9.915354959896108
17504,COMPLETED,1,0.9828478677711472,6,121,0.7452200723716598,12.344535597143588,9.36658031676409
17503,COMPLETED,1,0.9828478677711472,6,121,0.7452200723716598,11.499791818663786,10.258886653414047
17502,COMPLETED,1,0.9828478677711472,6,121,0.7452200723716598,12.205056797174613,10.968830056028581
17521,COMPLETED,1,0.9828478677711472,6,121,0.7452200723716598,10.724821128376997,9.275225719078403
17520,COMPLETED,1,0.9828478677711472,6,121,0.7452200723716598,11.520952363972008,9.2895965394685
17519,COMPLETED,1,0.9828478677711472,6,121,0.7452200723716598,12.551842249723482,10.74633526730964
17518,COMPLETED,1,0.9828478677711472,6,121,0.7452200723716598,10.346807694965033,10.205520568177256
17517,COMPLETED,1,0.9828478677711472,6,121,0.7452200723716598,11.939799203047972,9.632190160207518
17516,COMPLETED,1,0.9828478677711472,6,121,0.7452200723716598,12.101765390695045,11.497759069319926
17515,COMPLETED,1,0.9828478677711472,6,121,0.7452200723716598,11.257258117555432,9.584248927479203
17514,COMPLETED,1,0.9828478677711472,6,121,0.7452200723716598,14.274449949451489,11.91722181607022
17513,COMPLETED,1,0.9828478677711472,6,121,0.7452200723716598,12.035264519846807,9.01029712378837
17512,COMPLETED,1,0.9828478677711472,6,121,0.7452200723716598,12.118351820635214,10.704153410519774
17531,COMPLETED,1,1.0610516086471176,2,349,0.7870962624407799,12.917805609518249,12.900154408974874
17530,COMPLETED,1,1.0610516086471176,2,349,0.7870962624407799,13.872143138780684,12.149671128279193
17529,COMPLETED,1,1.0610516086471176,2,349,0.7870962624407799,13.4893905918998,11.63647472761611
17528,COMPLETED,1,1.0610516086471176,2,349,0.7870962624407799,15.853248317319592,14.272848455846908
17527,COMPLETED,1,1.0610516086471176,2,349,0.7870962624407799,11.759604387616475,11.15676931232363
17526,COMPLETED,1,1.0610516086471176,2,349,0.7870962624407799,13.069255476184926,12.81658012322932
17525,COMPLETED,1,0.9828478677711472,6,121,0.7452200723716598,11.903875773198926,9.963635759717413
17524,COMPLETED,1,0.9828478677711472,6,121,0.7452200723716598,11.287241787670837,8.56997906747036
17523,COMPLETED,1,0.9828478677711472,6,121,0.7452200723716598,11.723055869163506,9.335352081013172
17522,COMPLETED,1,0.9828478677711472,6,121,0.7452200723716598,12.272183823678132,8.380189976805289
17541,COMPLETED,1,1.0610516086471176,2,349,0.7870962624407799,12.927840402977257,11.506051128803707
17540,COMPLETED,1,1.0610516086471176,2,349,0.7870962624407799,15.287346575221155,12.996411336147391
17539,COMPLETED,1,1.0610516086471176,2,349,0.7870962624407799,13.099639878911916,14.304854901825232
17538,COMPLETED,1,1.0610516086471176,2,349,0.7870962624407799,14.552252718954122,12.26892495185759
17537,COMPLETED,1,1.0610516086471176,2,349,0.7870962624407799,13.269084647582645,12.648572365886988
17536,COMPLETED,1,1.0610516086471176,2,349,0.7870962624407799,12.962834030359799,11.973423353431555
17535,COMPLETED,1,1.0610516086471176,2,349,0.7870962624407799,12.9733022382758,11.155142412822821
17534,COMPLETED,1,1.0610516086471176,2,349,0.7870962624407799,13.116133190391555,11.673283521840176
17533,COMPLETED,1,1.0610516086471176,2,349,0.7870962624407799,11.062719386234727,11.151460176849511
17532,COMPLETED,1,1.0610516086471176,2,349,0.7870962624407799,13.098289863099401,12.877432833801624
17551,COMPLETED,1,1.13914823305101,2,277,0.6855648011151227,14.178702031846376,14.856528592191205
17550,COMPLETED,1,1.0610516086471176,2,349,0.7870962624407799,13.472492312935831,13.423896202905786
